"site","lat_mean","lon_mean","elev_mean"
"PA400",-12.6553907406667,-71.2341592586667,406
"PA800",-12.6389370366667,-71.27440926,822
"VC",-12.8684999993333,-71.405820372,861
"SP1500",-13.0487265424444,-71.5358617282222,1497
"SP1750",-13.0468750002941,-71.5430947711765,1770
"TRU08",-13.070098264375,-71.555770486,1839
"TRU07",-13.0743050925,-71.5596731481667,2135
"TRU06",-13.0796154328889,-71.5659030871111,2281
"TRU04",-13.1055518506667,-71.589207407,2733
"TRU02",-13.1104976858333,-71.6038125008333,3213
