Site,Adult.Seedling,Elevation.code,Species,Individual.code,Lat.DD,Long.DD,Collection.date,Collection.day,Elevation,Soil.temp.1,Soil.temp.2,Soil.temp.3,Soil.temp.mean,Soil.temp.SD,Soil.mois.1,Soil.mois.2,Soil.mois.3,Soil.mois.mean,Soil.mois.SD,No.leaves,No.cot,Height.cm,Height.mm,Width.mm,Stem.volume.mm3,Stem.volume.cm3,Stem.thick.per.height,L.time,L.temp,L.light,QPSII,D.time,D.temp,D.light,D.FvFm,Canopy.open.per,LAI.4.ring,SPAD.1,SPAD.2,SPAD.3,SPAD.mean,SPAD.SD,Leaf.thick.1.mm,Leaf.thick.2.mm,Leaf.thick.3.mm,Leaf.thick.mean.mm,Leaf.thick.SD,Leaf.mass.fresh.g,Leaf.mass.FAA.g,Leaf.mass.dry.g,Leaf.area,Comp.Y.N.,Comp.seed.same.sp,Comp.seed.diff.sp,Comp.seed.total,Comp.adult.total,Comp.adult.metric,Comp.adult.log.metric,Height.leaf.ratio
PA1,Seedling,Bottom,ID,452,-12.65616667,-71.23258333,23/08/2015,32,378,26.1,26.4,26.3,26.26666667,0.152753,29.9,34.2,36.4,33.5,3.306055051,1,0,6,60,4.465,939.47247,0.93947247,0.744166667,08:15:00,25.3,4,0.694394213,0.377083333,27.7,0,0.723591549,4.88,3.84,32.6,35.4,29.9,32.63333333,2.750151511,0.332,0.179,0.292,0.267666667,0.079349438,0.792,0.787,NA,6.933,Y,1,43,44,3,27.39693487,1.437701977,0.166666667
PA1,Seedling,Bottom,ID,462,-12.65502778,-71.23472222,23/08/2015,32,401,26.1,25.9,26.2,26.06666667,0.152753,12.2,11.9,13.1,12.4,0.6244998,1,0,15,150,4.182,2060.38888,2.06038888,0.2788,08:01:00,24.1,0,0.738522954,08:37,26.4,0,0.574596774,3.32,4.45,47.1,52.5,51,50.2,2.787471973,0.219,0.202,0.278,0.233,0.039887341,1.271,0.9,NA,77.399,Y,0,40,40,5,56.28372177,1.750382807,0.066666667
PA1,Seedling,Bottom,ID,457,-12.65547222,-71.23383333,23/08/2015,32,403,26,26.4,26.1,26.16666667,0.208167,30,28.3,29.6,29.3,0.888819442,2,0,11,110,5.306,2432.299541,2.432299541,0.482363636,08:09:00,24.6,2,0.687366167,08:50,25.5,0,0.706720978,6.45,3.1,27.1,17,15.9,20,6.173329734,0.161,0.227,0.177,0.188333333,0.03442867,0.582,0.433,NA,67.689,N,NA,NA,NA,NA,NA,NA,0.181818182
PA1,Seedling,Bottom,ID,453,-12.65616667,-71.23266667,23/08/2015,32,404,26.1,26.5,26.4,26.33333333,0.208167,30.1,27.3,26.7,28.03333333,1.814754345,3,0,13,130,3.243,1073.809226,1.073809226,0.249461538,08:14:00,25,40,0.719924812,09:01,27.1,0,0.74953271,10.04,2.73,43.3,48.6,45,45.63333333,2.706165799,0.3,0.301,0.305,0.302,0.002645751,1.05,0.916,NA,62.387,Y,14,60,74,5,60.09904762,1.77886759,0.230769231
PA1,Seedling,Bottom,ID,454,-12.65569444,-71.23355556,23/08/2015,32,404,26.7,26.6,26.7,26.66666667,0.057735,18.2,23,14.5,18.56666667,4.261846235,1,0,5,50,3.381,448.9006427,0.448900643,0.6762,08:11:00,24.9,2,0.720670391,08:57,26.3,0,0.736486486,4.59,3.57,26.1,24.7,31.9,27.56666667,3.817503547,0.202,0.246,0.218,0.222,0.022271057,0.866,0.746,NA,4.291,N,NA,NA,NA,NA,NA,NA,0.2
PA1,Seedling,Bottom,ID,458,-12.65544444,-71.23411111,23/08/2015,32,407,26.3,26.2,25.9,26.13333333,0.208167,24.7,27.8,8.3,20.26666667,10.47870857,1,0,16,160,3.169,1261.985434,1.261985434,0.1980625,08:07:00,24.8,2,0.710820896,08:49,25.8,0,0.722426471,7.7,2.99,56.6,49,45.6,50.4,5.632051136,0.296,0.182,0.228,0.235333333,0.05735271,0.999,0.784,NA,9.382,Y,4,29,33,2,16.1175,1.207297679,0.0625
PA1,Seedling,Bottom,ID,459,-12.65547222,-71.23394444,23/08/2015,32,408,25.8,26.1,26.1,26,0.173205,25.8,26.6,24.6,25.66666667,1.006644591,1,0,10,100,3.225,816.8631773,0.816863177,0.3225,08:05:00,24.3,2,0.73283859,08:46,25.8,0,0.734939759,6.47,3.08,42.8,44.2,37.1,41.36666667,3.760762334,0.202,0.335,0.194,0.243666667,0.079198064,1.038,0.756,NA,147.304,Y,0,34,34,3,32.38108108,1.510291344,0.1
PA1,Seedling,Bottom,ID,466,-12.65488889,-71.2355,23/08/2015,32,410,26.9,26,26,26.3,0.519615,22.4,22.1,28.7,24.4,3.726929031,3,0,20,200,3.988,2498.217098,2.498217098,0.1994,07:57:00,23.8,2,0.689964158,08:29,27.7,0,0.746478873,4.69,3.75,35.4,35.2,40.5,37.03333333,3.003886372,0.339,0.186,0.209,0.244666667,0.082500505,1.539,1.712,NA,90.135,N,NA,NA,NA,NA,NA,NA,0.15
PA1,Seedling,Bottom,ID,460,-12.65552778,-71.234,23/08/2015,32,410,25.8,26.2,25,25.66666667,0.61101,23.5,23.6,30.1,25.73333333,3.781974793,1,0,9,90,3.708,971.8782024,0.971878202,0.412,08:03:00,24.4,3,0.722014925,08:43,25.8,0,0.734982332,6.22,3.32,36.5,37.1,42.1,38.56666667,3.074627349,0.199,0.202,0.167,0.189333333,0.019399313,0.587,0.501,NA,2.718,Y,2,38,40,3,18.2126383,1.260372863,0.111111111
PA1,Seedling,Bottom,ID,456,-12.6555,-71.23377778,23/08/2015,32,411,25.9,26.1,25.8,25.93333333,0.152753,20.2,23.5,32.9,25.53333333,6.589638331,2,0,20,200,2.781,1214.847753,1.214847753,0.13905,08:09:00,25.2,10,0.714867617,08:52,26,0,0.726213592,6.1,3.24,43.4,50.5,45.1,46.33333333,3.707200201,0.174,0.205,0.195,0.191333333,0.015821926,0.655,0.578,NA,92.254,Y,7,33,40,3,31.31788566,1.495792434,0.1
