species,position,site,range
AV,top,TU7,2135
CR,top,TU4,2733
CT,top,TU6,2281
DL,top,TU8,1839
HG,top,TU2,3212
ID,top,VC1,861
MS,top,TU7,2135
SP,top,TU6,2281
TG,top,TU8,1839
AV,middle,TU8,1839
CR,middle,TU6,2281
CT,middle,TU7,2135
DL,middle,NA,NA
HG,middle,TU4,2733
ID,middle,NA,NA
MS,middle,SP1,1497
SP,middle,TU7,2135
TG,middle,NA,NA
AV,bottom,SP2,1770
CR,bottom,SP2,1770
CT,bottom,SP2,1770
DL,bottom,SP1,1497
HG,bottom,TU8,1839
ID,bottom,PA1,406
MS,bottom,PA2,822
MS,bottom,VC1,861
SP,bottom,TU8,1839
TG,bottom,SP1,1497
